English,Armenian,Definition,Synonyms,Stage
"ability","ունակություն","","","Mastered"
"able","կարող, ունակ","","","In Progress"
"abortion","աբորտ, հղիության ընդհատում","","","In Progress"
"about","մասին, մոտ","","","In Progress"
"above","վերևում, վերև","","","In Progress"
"abroad","արտերկրում","","","In Progress"
"absence","բացակայություն","","","Mastered"
"absolute","բացարձակ","","","In Progress"
"absolutely","բացարձակապես","","","In Progress"
"absorb","կլանել, ներծծել","","","In Progress"
"academic","ակադեմիական","","","In Progress"
"accept","ընդունել","","","In Progress"
"access","մուտք, հասանելիություն","","","In Progress"
"accident","դժբախտ պատահար","","","In Progress"
"accompany","ուղեկցել","","","In Progress"
"accomplish","կատարել, իրականացնել","","","In Progress"
"According","համաձայն","","","In Progress"
"account","հաշիվ, հաշվետվություն","","","In Progress"
"accuse","մեղադրել","","","In Progress"
"achieve","հասնել, ձեռք բերել","","","In Progress"
"achievement","ձեռքբերում","","","In Progress"
"acknowledge","ճանաչել, ընդունել","","","In Progress"
"acquaintances","ծանոթներ","","","In Progress"
"acquire","ձեռք բերել","","","In Progress"
"across","դիմաց, ամբողջովին","","","In Progress"
"Act","գործել, ակտ","","","In Progress"
"action","գործողություն","","","Mastered"
"active","ակտիվ","","","In Progress"
"activist","ակտիվիստ","","","In Progress"
"activity","գործունեություն","","","In Progress"
"actor","դերասան","","","In Progress"
"actress","դերասանուհի","","","In Progress"
"actual","փաստացի","","","In Progress"
"actually","իրականում","","","In Progress"
"ad","գովազդ","","","In Progress"
"adapt","հարմարեցնել","","","In Progress"
"add","ավելացնել","","","In Progress"
"address","հասցե, դիմել","","","In Progress"
"administration","վարչություն","","","In Progress"
"administrator","ադմինիստրատոր","","","In Progress"
"admire","հիանալ","","","In Progress"
"admission","ընդունելություն","","","In Progress"
"adopt","որդեգրել, ընդունել","","","Mastered"
"adult","մեծահասակ","","","In Progress"
"advance","առաջընթաց","","","In Progress"
"advanced","առաջադեմ","","","In Progress"
"advantage","առավելություն","","","In Progress"
"adventure","արկած","","","In Progress"
"advertising","գովազդ","","","In Progress"
"advice","խորհուրդ","","","In Progress"
"advise","խորհուրդ տալ","","","In Progress"
"adviser","խորհրդատու","","","In Progress"
"advocate","պաշտպան","","","In Progress"
"affair","գործ, սիրավեպ","","","In Progress"
"affect","ազդել","","","In Progress"
"afraid","վախենալ","","","In Progress"
"African","աֆրիկյան","","","In Progress"
"African-American","աֆրո-ամերիկյան","","","In Progress"
"after","հետո","","","In Progress"
"afternoon","կեսօրից հետո","","","In Progress"
"again","Կրկին","","","Mastered"
"against","դեմ","","","In Progress"
"age","տարիք","","","In Progress"
"agency","գործակալություն","","","In Progress"
"agenda","օրակարգ","","","In Progress"
"agent","գործակալ","","","In Progress"
"aggressive","ագրեսիվ","","","In Progress"
"ago","առաջ","","","In Progress"
"agree","համաձայնվել","","","In Progress"
"agreement","համաձայնություն","","","In Progress"
"agricultural","գյուղատնտեսական","","","In Progress"
"ah","ահ","","","In Progress"
"Ahead","առաջ","","","In Progress"
"aid","օգնություն","","","In Progress"
"aide","օգնական","","","In Progress"
"AIDS","ՁԻԱՀ","","","In Progress"
"aim","նպատակ","","","In Progress"
"air","օդ","","","In Progress"
"aircraft","օդանավ","","","In Progress"
"airline","ավիաուղի","","","Mastered"
"airport","օդանավակայան","","","In Progress"
"album","ալբոմ","","","In Progress"
"alcohol","ալկոհոլ","","","In Progress"
"alive","կենդանի","","","In Progress"
"all","բոլոր","","","In Progress"
"alliance","դաշինք","","","In Progress"
"allow","թույլատրել","","","In Progress"
"ally","դաշնակից","","","Mastered"
"almost","գրեթե","","","In Progress"
"alone","մենակ","","","In Progress"
"Along","երկայնությամբ","","","In Progress"
"already","արդեն","","","In Progress"
"also","նաև","","","In Progress"
"alter","փոխել","","","In Progress"
"alternative","այլընտրանք","","","In Progress"
"Although","չնայած","","","In Progress"
"always","միշտ","","","In Progress"
"AM","AM","","","In Progress"
